data	mut	pop	len	ind	ploidy	rep	method	rf	time	core	score_reconstructed	score_true
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	RAxML-ng	4	11755.519	64	-97928856.6	-119963954.4
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	RAxML-ng	2	19984.282	64	-135991872.5	-159044078.2
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	RAxML-ng	6	21001.532	64	-128689010.3	-154100667.4
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	RAxML-ng	3	23205.754	64	-161743694.2	-193879752.2
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	RAxML-ng	3	15931.537	64	-111982240.4	-122174796.8
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	RAxML-ng	3	14756.258	64	-128661790.3	-162853442
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	RAxML-ng	3	19549.063	64	-146758389.8	-174261655.8
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	RAxML-ng	0	14797.747	64	-119251848.6	-149099883.4
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	RAxML-ng	4	15354.276	64	-135460610	-169327864.9
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	RAxML-ng	6	14111.855	64	-126712670.5	-126714561.2
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	RAxML-ng	3	19738.372	64	-142404475.9	-172540917.4
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	RAxML-ng	6	19078.207	64	-123794403.3	-133478681.3
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	RAxML-ng	5	15586.807	64	-107824220.6	-107825997
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	RAxML-ng	3	18722.567	64	-127565497.9	-151399751.6
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	RAxML-ng	6	20116.608	64	-130313527.5	-159927970.7
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	RAxML-ng	5	15256.476	64	-125867870.7	-155210774.4
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	RAxML-ng	0	19211.016	64	-122720097.3	-130608537.1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	RAxML-ng	3	15646.296	64	-117966159.5	-156768358.3
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	RAxML-ng	1	14231.92	64	-116087175.2	-137903609.2
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	RAxML-ng	4	17308.867	64	-114103205.7	-143332830.8
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	RAxML-ng	1	11395.524	64	-132935683	-159964303.9
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	RAxML-ng	3	15031.709	64	-111049029.7	-111051759.8
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	RAxML-ng	2	16185.752	64	-139536874.3	-163787142.9
