data	mut	pop	len	ind	ploidy	rep	method	rf	time	core
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	SVDQuartets	3	18971	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	SVDQuartets	0	28126	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	SVDQuartets	7	15061	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	wASTRAL*	2	2.36E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	wASTRAL*	1	2.06E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	wASTRAL*	5	2.55E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	wASTRAL*	5	2.32E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	wASTRAL*	3	2.86E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	wASTRAL*	6	2.57E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	wASTRAL*	0	2.95E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	wASTRAL*	4	2.43E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	wASTRAL*	4	2.34E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	wASTRAL*	3	2.71E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	wASTRAL*	4	2.47E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	wASTRAL*	2	2.48E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	wASTRAL*	7	2.64E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	wASTRAL*	3	2.77E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	wASTRAL*	7	2.64E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	wASTRAL*	3	2.56E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	wASTRAL*	1	2.90E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	wASTRAL*	6	2.70E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	wASTRAL*	3	2.40E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	wASTRAL*	2	2.56E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	wASTRAL*	3	2.68E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	wASTRAL*	2	2.37E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	wASTRAL*	5	2.40E+06	1
