data	mut	pop	gene	ind	ploidy	rep	method	rf
M201	5.00E-08	1.00E+05	2000	1	1	35	ASTRAL	0
M201	5.00E-08	1.00E+05	2000	1	1	36	ASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	37	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	38	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	39	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	40	ASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	41	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	42	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	43	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	44	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	45	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	46	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	47	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	48	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	49	ASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	50	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	1	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	2	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	3	RAxML-ng	7
M201	5.00E-08	1.00E+05	2000	1	1	4	RAxML-ng	6
M201	5.00E-08	1.00E+05	2000	1	1	5	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	6	RAxML-ng	7
M201	5.00E-08	1.00E+05	2000	1	1	7	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	8	RAxML-ng	6
M201	5.00E-08	1.00E+05	2000	1	1	9	RAxML-ng	5
M201	5.00E-08	1.00E+05	2000	1	1	10	RAxML-ng	5
M201	5.00E-08	1.00E+05	2000	1	1	11	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	12	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	13	RAxML-ng	8
M201	5.00E-08	1.00E+05	2000	1	1	14	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	15	RAxML-ng	6
M201	5.00E-08	1.00E+05	2000	1	1	16	RAxML-ng	3
