case	mut	top	len	rep	method	rf
hard	2X	AB|CD	10	98	CASTER-pair	0
hard	2X	AB|CD	10	99	CASTER-pair	0
hard	2X	AB|CD	10	100	CASTER-pair	0
hard	2X	AB|CD	20	1	CASTER-pair	0
hard	2X	AB|CD	20	2	CASTER-pair	0
hard	2X	AB|CD	20	3	CASTER-pair	0
hard	2X	AB|CD	20	4	CASTER-pair	0
hard	2X	AB|CD	20	5	CASTER-pair	0
hard	2X	AB|CD	20	6	CASTER-pair	0
hard	2X	AB|CD	20	7	CASTER-pair	0
hard	2X	AB|CD	20	8	CASTER-pair	0
hard	2X	AB|CD	20	9	CASTER-pair	0
hard	2X	AB|CD	20	10	CASTER-pair	0
hard	2X	AB|CD	20	11	CASTER-pair	0
hard	2X	AB|CD	20	12	CASTER-pair	0
hard	2X	AB|CD	20	13	CASTER-pair	0
hard	2X	AB|CD	20	14	CASTER-pair	0
hard	2X	AB|CD	20	15	CASTER-pair	0
hard	2X	AB|CD	20	16	CASTER-pair	0
hard	2X	AB|CD	20	17	CASTER-pair	0
hard	2X	AB|CD	20	18	CASTER-pair	0
hard	2X	AB|CD	20	19	CASTER-pair	0
hard	2X	AB|CD	20	20	CASTER-pair	0
hard	2X	AB|CD	20	21	CASTER-pair	0
hard	2X	AB|CD	20	22	CASTER-pair	0
hard	2X	AB|CD	20	23	CASTER-pair	0
hard	2X	AB|CD	20	24	CASTER-pair	0
hard	2X	AB|CD	20	25	CASTER-pair	0
hard	2X	AB|CD	20	26	CASTER-pair	0
hard	2X	AB|CD	20	27	CASTER-pair	0
hard	2X	AB|CD	20	28	CASTER-pair	0
hard	2X	AB|CD	20	29	CASTER-pair	0
hard	2X	AB|CD	20	30	CASTER-pair	0
hard	2X	AB|CD	20	31	CASTER-pair	0
hard	2X	AB|CD	20	32	CASTER-pair	0
hard	2X	AB|CD	20	33	CASTER-pair	0
hard	2X	AB|CD	20	34	CASTER-pair	0
hard	2X	AB|CD	20	35	CASTER-pair	0
hard	2X	AB|CD	20	36	CASTER-pair	0
hard	2X	AB|CD	20	37	CASTER-pair	0
hard	2X	AB|CD	20	38	CASTER-pair	0
